"","Human.Gene","DE.Score","Worm.Gene","Name","Programs","RNAi"
"1899","C1QB",-4,NA,NA,NA,NA
"1914","C3",-5,NA,NA,NA,NA
"2243","CDC20",4,"ZK1307.6","fzr-1",1,"II-10A17"
"2244","CDC20",4,"ZK177.6","fzy-1",1,"II-4O16|II-4O18"
"2551","CLEC7A",-5,"C25B8.4","clec-266",1,"X-3D17"
"2586","CLN6",4,NA,NA,NA,NA
"2645","CNP",-4,"F26A1.14","",1,"III-2B13"
"2942","CS",4,"T20G5.2","cts-1",6,"III-5O22"
"3626","DLAT",4,"F23B12.5","dlat-1",6,"V-9B17"
"3950","EIF4E3",4,NA,NA,NA,NA
"4218","FAM46A",-4,"F55A12.9","pqn-44",4,"I-2M06"
"4319","FCGR2B",-4,NA,NA,NA,NA
"4606","GBP4",-5,NA,NA,NA,NA
"4619","GCNT2",-5,"F22D6.11","gly-18",4,"I-3B11"
"4620","GCNT2",-5,"F22D6.12","gly-19",4,"I-3B13"
"4621","GCNT2",-5,"F44F4.6","gly-1",4,"II-7F21"
"4622","GCNT2",-5,"C54C8.11","gly-15",4,"I-6E22"
"4623","GCNT2",-5,"T15D6.2","gly-16",4,"I-6A08"
"4624","GCNT2",-5,"T15D6.3","gly-17",4,"I-6A10"
"4625","GCNT2",-5,"T09E11.9","",1,"I-6O23|I-9F14"
"4626","GCNT2",-5,"T27F6.1","",1,"I-6E24"
"4627","GCNT2",-5,"T28F3.9","",1,"IV-8C02"
"4628","GCNT2",-5,"Y51H4A.25","",1,"IV-8A09|IV-8A13|IV-8A15"
"4629","GCNT2",-5,"ZK1225.2","",1,"I-6N23"
"4630","GCNT2",-5,"H41C03.3","",1,"II-10G20|II-4P06"
"4631","GCNT2",-5,"R07C3.3","",1,"II-1F15"
"4632","GCNT2",-5,"T14B4.9","",1,"II-5O03"
"4633","GCNT2",-5,"F26D2.3","",1,"V-10P22"
"4634","GCNT2",-5,"F30A10.4","",1,"I-4N21"
"4635","GCNT2",-5,"F35H8.2","",1,""
"4636","GCNT2",-5,"R07B7.6","",1,"V-8I05"
"4637","GCNT2",-5,"T09E11.6","",1,"I-9C07"
"4638","GDA",-4,"F38E11.3","cpin-1",1,"IV-4J24"
"4853","GPRC5B",-4,NA,NA,NA,NA
"4878","GREB1L",-4,NA,NA,NA,NA
"4938","GSN",-4,"K06A4.3","gsnl-1",3,"V-6L11"
"5651","HLA-A",-11,NA,NA,NA,NA
"5971","ICAM1",-4,NA,NA,NA,NA
"5981","IDH3A",4,"F43G9.1","idha-1",6,"I-4A14"
"6056","IL13RA1",-4,NA,NA,NA,NA
"6080","IL6ST",-4,NA,NA,NA,NA
"6153","ISCA1",4,"Y39B6A.3","",6,"V-12I14"
"6175","ITGB2",-4,"ZK1058.2","pat-3",3,"III-1P02|III-8A17"
"6424","KIF22",4,NA,NA,NA,NA
"6626","LGALS3",-4,"W09H1.6","lec-1",1,""
"6627","LGALS3",-4,"W01A11.4","lec-10",1,"V-4D02"
"6628","LGALS3",-4,"F52H3.7","lec-2",1,"II-7I21"
"6629","LGALS3",-4,"C16H3.2","lec-9",1,"X-7J14"
"6630","LGALS3",-4,"R07B1.2","lec-7",1,"X-4J04"
"6631","LGALS3",-4,"R07B1.10","lec-8",1,"X-4J20"
"6632","LGALS3",-4,"ZK1248.16","lec-5",1,"II-10A23|II-4N22"
"6633","LGALS3",-4,"C53D6.7","",1,"IV-4J09"
"6634","LGALS3",-4,"ZK892.1","lec-3",1,"II-7G19"
"6635","LGALS3",-4,"C44F1.3","lec-4",1,"III-1L02"
"6754","LITAF",-4,"Y37D8A.8","",1,"III-6M22"
"6755","LITAF",-4,"Y87G2A.18","",1,"I-6J06"
"6756","LITAF",-4,"Y87G2A.19","",1,""
"6757","LITAF",-4,"F36G3.3","",4,"X-8O04"
"6758","LITAF",-4,"F16F9.1","",1,"X-4G08"
"7012","LYZ",-10,NA,NA,NA,NA
"8040","NREP",4,NA,NA,NA,NA
"8233","OXCT1",-4,"C05C10.3","",6,"II-7E19"
"8433","PDHB",4,"C04C3.3","pdhb-1",6,"IV-1F04"
"8529","PHF20",-4,NA,NA,NA,NA
"8658","PLEKHB1",-4,NA,NA,NA,NA
"8729","PLTP",-4,"F01G10.10","",1,"IV-5M20"
"8730","PLTP",-4,"F44A2.3","",1,"V-6F11"
"8731","PLTP",-4,"C55C3.1","",1,"IV-2P02"
"8732","PLTP",-4,"F10D11.6","",1,"I-4K23|I-9B16"
"9106","PTEN",-4,"T07A9.6","daf-18",3,"IV-1I23"
"9107","PTEN",-4,"","",1,"I-2F23"
"9367","RALBP1",4,"T23G11.5","rlbp-1",4,"I-3F12|I-3F20"
"9805","S100A4",-4,NA,NA,NA,NA
"9806","S100A6",-4,NA,NA,NA,NA
"10017","SERPINA3",-5,"F20D6.3","srp-8",1,"V-14F19"
"10018","SERPINA3",-5,"F20D6.4","srp-7",1,"V-14F18"
"10019","SERPINA3",-5,"C03G6.19","srp-6",1,"V-5G14"
"10020","SERPINA3",-5,"C05E4.3","srp-1",1,"V-1M10"
"10021","SERPINA3",-5,"C05E4.1","srp-2",1,"V-1M06"
"10022","SERPINA3",-5,"Y32G9A.4","srp-3",1,"V-14F17"
"10087","SFRP1",-4,"Y73B6BL.21","sfrp-1",4,""
"10201","SKAP2",-4,NA,NA,NA,NA
"10555","SLC43A2",-4,NA,NA,NA,NA
"10556","SLC44A1",-5,NA,NA,NA,NA
"10592","SLC6A6",-4,"T03F7.1","snf-11",1,""
"10593","SLC6A6",-4,"T13B5.1","snf-3",1,"II-1B02"
"10674","SLPI",-4,NA,NA,NA,NA
"11056","SUCLA2",4,"F47B10.1","suca-1",6,"X-5C02"
"11057","SUCLA2",4,"C50F7.4","sucg-1",1,"IV-3L08"
"11436","TMEM176A",-5,NA,NA,NA,NA
"11825","TRPS1",-4,"W09C2.1","elt-1",1,"IV-5A05"
"11826","TRPS1",-4,"F55A8.1","egl-18",1,"IV-1H19"
"11827","TRPS1",-4,"C39B10.6","elt-4",1,""
"11828","TRPS1",-4,"F52C12.5","elt-6",1,"IV-1J07"
"11829","TRPS1",-4,"C33D3.1","elt-2",1,"X-5I11"
"12261","VLDLR",4,"T13C2.6","",6,"II-5A06"
