"","Human.Gene","DE.Score","Worm.Gene","Name","Programs","RNAi"
"1087","AHR",4,"C41G7.5","ahr-1",4,"I-4P19|I-4P21"
"1905","C3",-4,NA,NA,NA,NA
"2549","CLEC7A",-5,"C25B8.4","clec-266",1,"X-3D17"
"2641","CNP",-4,"F26A1.14","",1,"III-2B13"
"2941","CS",4,"T20G5.2","cts-1",6,"III-5O22"
"3624","DLAT",4,"F23B12.5","dlat-1",6,"V-9B17"
"3948","EIF4E3",4,NA,NA,NA,NA
"4222","FAM46A",-4,"F55A12.9","pqn-44",4,"I-2M06"
"4316","FCGR2B",-4,NA,NA,NA,NA
"4607","GBP4",-4,NA,NA,NA,NA
"4638","GCNT2",-5,"F22D6.12","gly-19",4,"I-3B13"
"4639","GCNT2",-5,"F22D6.11","gly-18",4,"I-3B11"
"4640","GCNT2",-5,"H41C03.3","",1,"II-10G20|II-4P06"
"4641","GCNT2",-5,"T15D6.3","gly-17",4,"I-6A10"
"4642","GCNT2",-5,"F44F4.6","gly-1",4,"II-7F21"
"4643","GCNT2",-5,"T27F6.1","",1,"I-6E24"
"4644","GCNT2",-5,"T28F3.9","",1,"IV-8C02"
"4645","GCNT2",-5,"Y51H4A.25","",1,"IV-8A09|IV-8A13|IV-8A15"
"4646","GCNT2",-5,"T09E11.9","",1,"I-6O23|I-9F14"
"4647","GCNT2",-5,"F26D2.3","",1,"V-10P22"
"4648","GCNT2",-5,"C54C8.11","gly-15",4,"I-6E22"
"4649","GCNT2",-5,"T15D6.2","gly-16",4,"I-6A08"
"4650","GCNT2",-5,"ZK1225.2","",1,"I-6N23"
"4651","GCNT2",-5,"T09E11.6","",1,"I-9C07"
"4652","GCNT2",-5,"F30A10.4","",1,"I-4N21"
"4653","GCNT2",-5,"R07C3.3","",1,"II-1F15"
"4654","GCNT2",-5,"T14B4.9","",1,"II-5O03"
"4655","GCNT2",-5,"F35H8.2","",1,""
"4656","GCNT2",-5,"R07B7.6","",1,"V-8I05"
"4657","GDA",-4,"F38E11.3","cpin-1",1,"IV-4J24"
"4698","GID4",4,NA,NA,NA,NA
"4897","GREB1L",-4,NA,NA,NA,NA
"5689","HLA-A",-11,NA,NA,NA,NA
"6000","IDH3A",4,"F43G9.1","idha-1",6,"I-4A14"
"6097","IL6ST",-4,NA,NA,NA,NA
"6165","ISCA1",4,"Y39B6A.3","",6,"V-12I14"
"6436","KIF22",4,NA,NA,NA,NA
"6573","LAMP2",-4,NA,NA,NA,NA
"6640","LGALS3",-4,"W09H1.6","lec-1",1,""
"6641","LGALS3",-4,"C16H3.2","lec-9",1,"X-7J14"
"6642","LGALS3",-4,"ZK1248.16","lec-5",1,"II-10A23|II-4N22"
"6643","LGALS3",-4,"C44F1.3","lec-4",1,"III-1L02"
"6644","LGALS3",-4,"F52H3.7","lec-2",1,"II-7I21"
"6645","LGALS3",-4,"W01A11.4","lec-10",1,"V-4D02"
"6646","LGALS3",-4,"ZK892.1","lec-3",1,"II-7G19"
"6647","LGALS3",-4,"C53D6.7","",1,"IV-4J09"
"6648","LGALS3",-4,"R07B1.10","lec-8",1,"X-4J20"
"6649","LGALS3",-4,"R07B1.2","lec-7",1,"X-4J04"
"6757","LITAF",-4,"Y87G2A.18","",1,"I-6J06"
"6758","LITAF",-4,"Y37D8A.8","",1,"III-6M22"
"6759","LITAF",-4,"F36G3.3","",4,"X-8O04"
"6760","LITAF",-4,"Y87G2A.19","",1,""
"6761","LITAF",-4,"F16F9.1","",1,"X-4G08"
"7014","LYZ",-9,NA,NA,NA,NA
"8035","NREP",4,NA,NA,NA,NA
"8313","OXCT1",-4,"C05C10.3","",6,"II-7E19"
"8616","PHF20",-4,NA,NA,NA,NA
"8820","PLTP",-4,"F10D11.6","",1,"I-4K23|I-9B16"
"8821","PLTP",-4,"F01G10.10","",1,"IV-5M20"
"8822","PLTP",-4,"C55C3.1","",1,"IV-2P02"
"8823","PLTP",-4,"F44A2.3","",1,"V-6F11"
"9197","PTEN",-4,"","",1,"I-2F23"
"9198","PTEN",-4,"T07A9.6","daf-18",3,"IV-1I23"
"10082","SERPINA3",-5,"F20D6.3","srp-8",1,"V-14F19"
"10083","SERPINA3",-5,"C05E4.1","srp-2",1,"V-1M06"
"10084","SERPINA3",-5,"C05E4.3","srp-1",1,"V-1M10"
"10085","SERPINA3",-5,"Y32G9A.4","srp-3",1,"V-14F17"
"10086","SERPINA3",-5,"C03G6.19","srp-6",1,"V-5G14"
"10087","SERPINA3",-5,"F20D6.4","srp-7",1,"V-14F18"
"10152","SFRP1",-4,"Y73B6BL.21","sfrp-1",4,""
"10622","SLC43A2",-4,NA,NA,NA,NA
"10623","SLC44A1",-5,NA,NA,NA,NA
"10660","SLC6A6",-4,"T03F7.1","snf-11",1,""
"10661","SLC6A6",-4,"T13B5.1","snf-3",1,"II-1B02"
"10739","SLPI",-4,NA,NA,NA,NA
"11117","SUCLA2",4,"C50F7.4","sucg-1",1,"IV-3L08"
"11118","SUCLA2",4,"F47B10.1","suca-1",6,"X-5C02"
"11510","TMEM176A",-4,NA,NA,NA,NA
"12227","UNC13C",-4,"ZK524.2","unc-13",4,"I-3N19"
